Su,biects,Full,Marks,Pass,Marks,Marks,Obtained,,
Code,Title,Asst.,Final,Asst.,Final,Asst.,Final,Total,Remarks
CT601,Software Engineering,20,80,8,32,17,61,78,
CT601,Software Engineering PRACTICAL,25,,10,,21,,21,
CT602,Data Communication,20,80,8,32,19,66,85,
CT602,Data Communication PRACTICAL,25,,10,,21,,21,
CT603,Computer Organization & Architecture,20,80,8,32,17,60,77,
CT603,Computer Organization & Architecture PRACTICAL,25,,10,,24,,24,
EX602,Instrumentation II,20,80,8,32,18,67,85,
EX602,Instrumentation II PRACTICAL,25,,10,,23,,23,
EX603,Computer Graphics,20,80,8,32,20,53,73,
EX603,Computer Graphics PRACTICAL,50,,20,,49,,49,
SH601,Communication English,20,80,8,32,20,19,81,
SH601,Communication English PRACTICAL,25,,10,,25,,25,
SH602,Probability & Statistics,20,80,8,32,20,75,95,
Marks Enter By:,Grand Total,737
Verified By:,Desult,Pass
Date:- 17DEC 2023,Nesurt,SSPY
